比賽時間,比賽時間,主客隊,主客隊,讓分,讓分,讓分,讓分,大小,大小,大小,獨贏,獨贏,一輸二贏,一輸二贏,一輸二贏,一輸二贏,單雙,單雙
03-23,07:05,曼斐斯灰熊,奧蘭多魔術,,10+50,0.950,0.950,206+50,0.950,0.930,3.940,0.190,,,,,0.930,0.950
03-23,07:35,奧克拉荷馬雷霆,多倫多暴龍,,2+50,0.950,0.950,225-50,0.940,0.940,1.100,0.770,,,,,0.930,0.950
03-23,07:35,洛杉磯快艇,克里夫蘭騎士,6-25,,0.950,0.950,227-50,0.960,0.920,0.390,2.060,,,,,0.930,0.950
03-23,07:35,丹佛金塊,紐約尼克,11-50,,0.950,0.950,215-50,0.960,0.920,0.110,5.660,,,,,0.930,0.950
03-23,08:05,聖安東尼奧馬刺,休士頓火箭,,6平,0.950,0.950,220+25,0.940,0.940,2.220,0.340,,,,,0.930,0.950
03-23,08:35,邁阿密熱火,密爾瓦基公鹿,,7-75,0.950,0.950,217-100,0.930,0.950,2.820,0.280,,,,,0.930,0.950
03-23,10:35,布魯克林籃網,洛杉磯湖人,2-75,,0.950,0.950,230-100,0.960,0.920,0.710,1.190,,,,,0.930,0.950
03-23,07:05,曼斐斯灰熊,奧蘭多魔術,,6+50,0.950,0.930,106+50,0.930,0.930,2.530,0.280,,,,,0.930,0.950
03-23,07:35,奧克拉荷馬雷霆,多倫多暴龍,,1平,0.940,0.940,115-50,0.920,0.940,1.030,0.780,,,,,0.930,0.950
03-23,07:35,洛杉磯快艇,克里夫蘭騎士,3+50,,0.930,0.950,116-100,0.930,0.930,0.530,1.440,,,,,0.930,0.950
03-23,07:35,丹佛金塊,紐約尼克,6-50,,0.930,0.950,110-50,0.930,0.930,0.250,2.770,,,,,0.930,0.950
03-23,08:05,聖安東尼奧馬刺,休士頓火箭,,3-50,0.950,0.930,107平,0.940,0.920,1.580,0.480,,,,,0.930,0.950
03-23,08:35,邁阿密熱火,密爾瓦基公鹿,,4-25,0.940,0.940,111-75,0.930,0.930,1.860,0.400,,,,,0.930,0.950
03-23,10:35,布魯克林籃網,洛杉磯湖人,1平,,0.940,0.940,112-25,0.930,0.930,0.770,1.030,,,,,0.930,0.950
03-23,07:35,多倫多暴龍-大,多倫多暴龍-小,,PK,0.900,0.900,113-100,0.930,0.910,0.900,0.900,,,,,0.940,0.940
03-23,07:35,紐約尼克-大,紐約尼克-小,,PK,0.900,0.900,102+25,0.920,0.920,0.900,0.900,,,,,0.940,0.940
03-23,08:05,休士頓火箭-大,休士頓火箭-小,,PK,0.900,0.900,113平,0.920,0.920,0.900,0.900,,,,,0.940,0.940
03-23,07:35,克里夫蘭騎士-大,克里夫蘭騎士-小,,PK,0.900,0.900,110-100,0.920,0.920,0.900,0.900,,,,,0.940,0.940
03-23,08:35,密爾瓦基公鹿-大,密爾瓦基公鹿-小,,PK,0.900,0.900,112-100,0.920,0.920,0.900,0.900,,,,,0.940,0.940
03-23,07:05,奧蘭多魔術-大,奧蘭多魔術-小,,PK,0.900,0.900,107-100,0.920,0.920,0.900,0.900,,,,,0.940,0.940
03-23,10:35,洛杉磯湖人-大,洛杉磯湖人-小,,PK,0.900,0.900,114平,0.920,0.920,0.900,0.900,,,,,0.940,0.940
03-23,07:35,奧克拉荷馬雷霆-大,奧克拉荷馬雷霆-小,,PK,0.900,0.900,112+50,0.900,0.940,0.900,0.900,,,,,0.940,0.940
03-23,07:35,丹佛金塊-大,丹佛金塊-小,,PK,0.900,0.900,113-25,0.920,0.920,0.900,0.900,,,,,0.940,0.940
03-23,08:05,聖安東尼奧馬刺-大,聖安東尼奧馬刺-小,,PK,0.900,0.900,107+50,0.920,0.920,0.900,0.900,,,,,0.940,0.940
03-23,08:35,邁阿密熱火-大,邁阿密熱火-小,,PK,0.900,0.900,105+50,0.920,0.920,0.900,0.900,,,,,0.940,0.940
03-23,10:35,布魯克林籃網-大,布魯克林籃網-小,,PK,0.900,0.900,116-75,0.920,0.920,0.900,0.900,,,,,0.940,0.940
03-23,07:05,曼斐斯灰熊-大,曼斐斯灰熊-小,,PK,0.900,0.900,98平,0.920,0.920,0.900,0.900,,,,,0.940,0.940
03-23,07:35,洛杉磯快艇-大,洛杉磯快艇-小,,PK,0.900,0.900,117+75,0.920,0.920,0.900,0.900,,,,,0.940,0.940
03-23,07:05,曼斐斯灰熊,奧蘭多魔術,,PK,1.350,0.510,0平,0.900,0.900,0.900,0.900,,,,,0.940,0.940
03-23,07:35,奧克拉荷馬雷霆,多倫多暴龍,,PK,1.130,0.730,0平,0.900,0.900,0.900,0.900,,,,,0.940,0.940
03-23,07:35,丹佛金塊,紐約尼克,,PK,0.360,1.500,0平,0.900,0.900,0.900,0.900,,,,,0.940,0.940
03-23,07:35,洛杉磯快艇,克里夫蘭騎士,,PK,0.510,1.350,0平,0.900,0.900,0.900,0.900,,,,,0.940,0.940
03-23,08:05,聖安東尼奧馬刺,休士頓火箭,,PK,1.230,0.630,0平,0.900,0.900,0.900,0.900,,,,,0.940,0.940
03-23,08:35,邁阿密熱火,密爾瓦基公鹿,,PK,1.450,0.410,0平,0.900,0.900,0.900,0.900,,,,,0.940,0.940
03-23,10:35,布魯克林籃網,洛杉磯湖人,,PK,1.000,0.860,0平,0.900,0.900,0.900,0.900,,,,,0.940,0.940
03-23,07:05,曼斐斯灰熊,奧蘭多魔術,,2-100,0.930,0.930,21-100,1.020,0.820,0.900,0.900,,,,,0.940,0.940
03-23,07:35,奧克拉荷馬雷霆,多倫多暴龍,,2-100,0.880,0.980,23-100,1.020,0.820,0.900,0.900,,,,,0.940,0.940
03-23,07:35,洛杉磯快艇,克里夫蘭騎士,,1平,0.940,0.920,22-100,1.020,0.820,0.900,0.900,,,,,0.940,0.940
03-23,07:35,丹佛金塊,紐約尼克,2平,,0.880,0.980,22平,0.920,0.920,0.900,0.900,,,,,0.940,0.940
